,Company,Country,Location,Date,Rocket,Mission
0,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1957,Sputnik 8K71PS,Sputnik-1
1,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03/11/1957,Sputnik 8K71PS,Sputnik-2
2,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",06/12/1957,Vanguard,Vanguard TV3
3,AMBA,USA,"LC-26A, Cape Canaveral AFS, Florida, USA",01/02/1958,Juno I,Explorer 1
4,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",05/02/1958,Vanguard,Vanguard TV3BU
5,AMBA,USA,"LC-26A, Cape Canaveral AFS, Florida, USA",05/03/1958,Juno I,Explorer 2
6,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",17/03/1958,Vanguard,Vanguard 1
7,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",26/03/1958,Juno I,Explorer 3
8,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27/04/1958,Sputnik 8A91,Sputnik-3 #1
9,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",28/04/1958,Vanguard,Vanguard TV5
10,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1958,Sputnik 8A91,Sputnik-3 #2
11,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",28/05/1958,Vanguard,Vanguard SLV-1
12,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",26/06/1958,Vanguard,Vanguard SLV-2
13,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/07/1958,NOTS-EV-1 Pilot II,Pilot-1 (D1)
14,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",26/07/1958,Juno I,Explorer 4
15,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",12/08/1958,NOTS-EV-1 Pilot II,Pilot-2 (D2)
16,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/08/1958,Thor-DM 18 Able I,Pioneer 0
17,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",22/08/1958,NOTS-EV-1 Pilot II,Pilot-3 (D3)
18,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",24/08/1958,Juno I,Explorer 5
19,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/08/1958,NOTS-EV-1 Pilot II,Pilot-4 (R1)
20,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",26/08/1958,NOTS-EV-1 Pilot II,Pilot-5 (R2)
21,US Navy,USA,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",29/08/1958,NOTS-EV-1 Pilot II,Pilot-6 (R3
22,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23/09/1958,Vostok,E-1 nâ Â­1 (Luna-1)
23,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",26/09/1958,Vanguard,Vanguard SLV-3
24,NASA,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/10/1958,Thor-DM 18 Able I,Pioneer 1
25,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/10/1958,Vostok,E-1 nâ Â­2 (Luna-1)
26,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",23/10/1958,Juno I,Beacon 1
27,NASA,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",08/11/1958,Thor-DM 18 Able I,Pioneer 2
28,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/12/1958,Vostok,E-1 nâ Â­3 (Luna-1)
29,AMBA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",06/12/1958,Juno II,Pioneer 3
30,US Air Force,USA,"LC-11, Cape Canaveral AFS, Florida, USA",18/12/1958,SM-65B Atlas,SCORE
31,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/01/1959,Vostok,Luna-1
32,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",17/02/1959,Vanguard,Vanguard 2
33,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28/02/1959,Thor-DM18 Agena-A,Discoverer 1
34,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/04/1959,Thor-DM18 Agena-A,Discoverer 2
35,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",14/04/1959,Vanguard,Vanguard SLV-5
36,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",03/06/1959,Thor-DM18 Agena-A,Discoverer 3
37,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",18/06/1959,Vostok,E-1A nâ Â­1 (Luna-2)
38,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",22/06/1959,Vanguard,Vanguard SLV-6
39,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",25/06/1959,Thor-DM18 Agena-A,Discoverer 4
40,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/08/1959,Thor DM-18 Able-III,Explorer 6
41,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/08/1959,Thor-DM18 Agena-A,Discoverer 5
42,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/08/1959,Thor-DM18 Agena-A,Discoverer 6
43,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",09/09/1959,Atlas-D Mercury,Big Joe 1
44,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/09/1959,Vostok,Luna-2
45,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/09/1959,Thor DM-18 Able-II,Transit 1A
46,US Navy,USA,"LC-18A, Cape Canaveral AFS, Florida, USA",18/09/1959,Vanguard,Vanguard 3
47,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1959,Vostok,Luna-3
48,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/11/1959,Thor-DM18 Agena-A,Discoverer 7
49,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/11/1959,Thor-DM18 Agena-A,Discoverer 8
50,General Dynamics,USA,"LC-14, Cape Canaveral AFS, Florida, USA",26/11/1959,Atlas-D Able,Pioneer P-3
51,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",04/02/1960,Thor-DM18 Agena-A,Discoverer 9
52,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/02/1960,Thor-DM18 Agena-A,Discoverer 10
53,General Dynamics,USA,"LC-14, Cape Canaveral AFS, Florida, USA",26/02/1960,Atlas-LV3 Agena-A,Midas 1
54,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/03/1960,Thor DM-18 Able-IV,Pioneer 5
55,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",01/04/1960,Thor DM-18 Able-II,TIROS-1
56,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1960,Thor-DM21 Ablestar,Transit 1B
57,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/04/1960,Vostok,E-3 nâ Â­2 (Luna-3)
58,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15/04/1960,Thor-DM18 Agena-A,Discoverer 11
59,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",16/04/1960,Vostok,E-3 nâ Â­3 (Luna-3)
60,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",13/05/1960,Thor DM-19 Delta,Echo 1
61,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1960,Vostok,Korabl-Sputnik 1
62,General Dynamics,USA,"LC-14, Cape Canaveral AFS, Florida, USA",24/05/1960,Atlas-LV3 Agena-A,Midas 2
63,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",22/06/1960,Thor-DM21 Ablestar,Transit 2A & GRAB-1
64,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29/06/1960,Thor-DM18 Agena-A,Discoverer 12
65,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28/07/1960,Vostok,1K nâ Â­2 (Korabl-Sputnik 2)
66,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",29/07/1960,Atlas-D Mercury,Mercury-Atlas 1 (MA-1)
67,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",10/08/1960,Thor-DM18 Agena-A,Discoverer 13
68,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",12/08/1960,Thor DM-19 Delta,Echo 1A
69,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",18/08/1960,Thor-DM18 Agena-A,Discoverer 14
70,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",18/08/1960,Thor-DM21 Ablestar,Courier 1A
71,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",19/08/1960,Vostok,Korabl-Sputnik 2
72,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",13/09/1960,Thor-DM18 Agena-A,Discoverer 15
73,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",25/09/1960,Atlas-D Able,Pioneer P-30
74,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",04/10/1960,Thor-DM21 Ablestar,Courier 1B
75,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/10/1960,Molniya,1M nâ Â­1 (Marsnik 1)
76,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",11/10/1960,Atlas-LV3 Agena-A,Samos 1
77,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",14/10/1960,Molniya,1M nâ Â­2 (Marsnik 2)
78,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",26/10/1960,Thor DM-21 Agena-B,Discoverer 16
79,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12/11/1960,Thor DM-21 Agena-B,Discoverer 17
80,NASA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",21/11/1960,Mercury-Redstone,Mercury-Redstone 1 (MR-1)
81,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",23/11/1960,Thor DM-19 Delta,TIROS-2
82,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",30/11/1960,Thor-DM21 Ablestar,Transit 3A & GRAB-2
83,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01/12/1960,Vostok,Korabl-Sputnik 3
84,NASA,USA,"LA-3, Wallops Flight Facility, Virginia, USA",04/12/1960,Scout X-1,Explorer (S-56)
85,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/12/1960,Thor DM-21 Agena-B,Discoverer 18
86,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",15/12/1960,Atlas-D Able,Pioneer P-31
87,NASA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",19/12/1960,Mercury-Redstone,Mercury-Redstone 1A (MR-1A)
88,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/12/1960,Thor DM-21 Agena-B,Discoverer 19
89,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",22/12/1960,Vostok,1K nâ Â­5 (Korabl-Sputnik 3)
90,NASA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",31/01/1961,Mercury-Redstone,Mercury-Redstone 2 (MR-2)
91,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",31/01/1961,Atlas-LV3 Agena-A,Samos 2
92,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/02/1961,Molniya,1VA nâ Â­1 (Venera 1)
93,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/02/1961,Molniya,Venera 1
94,NASA,USA,"LA-3, Wallops Flight Facility, Virginia, USA",16/02/1961,Scout X-1,Explorer 9 (S-56A)
95,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",17/02/1961,Thor DM-21 Agena-B,Discoverer 20
96,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/02/1961,Thor DM-21 Agena-B,Discoverer 21
97,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",21/02/1961,Atlas-D Mercury,Mercury-Atlas 2 (MA-2)
98,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",22/02/1961,Thor-DM21 Ablestar,Transit 3B & Lofti 1
99,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",09/03/1961,Vostok,Korabl-Sputnik 4
100,NASA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",24/03/1961,Mercury-Redstone,Mercury-Redstone BD (MR-BD)
101,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25/03/1961,Vostok,Korabl-Sputnik 5
102,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",25/03/1961,Thor DM-19 Delta,Explorer 10
103,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30/03/1961,Thor DM-21 Agena-B,Discoverer 22
104,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",08/04/1961,Thor DM-21 Agena-B,Discoverer 23
105,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/04/1961,Vostok,Vostok 1
106,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",25/04/1961,Atlas-D Mercury,Mercury-Atlas 3 (MA-3)
107,NASA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",05/05/1961,Mercury-Redstone,Freedom 7 (MR-3)
108,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",08/06/1961,Thor DM-21 Agena-B,Discoverer 24
109,US Air Force,USA,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",16/06/1961,Thor DM-21 Agena-B,Discoverer 25
110,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",29/06/1961,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3"
111,NASA,USA,"LA-3, Wallops Flight Facility, Virginia, USA",30/06/1961,Scout X-1,Explorer (S-55)
112,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",07/07/1961,Thor DM-21 Agena-B,Discoverer 26
113,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",12/07/1961,Thor DM-19 Delta,TIROS-3
114,General Dynamics,USA,"SLC-3E, Vandenberg AFB, California, USA",12/07/1961,Atlas-LV3 Agena-B,Midas 3
115,NASA,USA,"LC-5, Cape Canaveral AFS, Florida, USA",21/07/1961,Mercury-Redstone,Liberty Bell 7 (MR-4)
116,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",21/07/1961,Thor DM-21 Agena-B,Discoverer 27
117,US Air Force,USA,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",04/08/1961,Thor DM-21 Agena-B,Discoverer 28
118,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",06/08/1961,Vostok,Vostok 2
119,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",16/08/1961,Thor DM-19 Delta,Explorer 12
120,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",23/08/1961,Atlas-LV3 Agena-B,Ranger 1
121,NASA,USA,"LA-3, Wallops Flight Facility, Virginia, USA",25/08/1961,Scout X-1,Explorer 13
122,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30/08/1961,Thor DM-21 Agena-B,Discoverer 29
123,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",09/09/1961,Atlas-LV3 Agena-B,Samos 3
124,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12/09/1961,Thor DM-21 Agena-B,Discoverer 30
125,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",13/09/1961,Atlas-D Mercury,Mercury-Atlas 4 (MA-4)
126,US Air Force,USA,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",17/09/1961,Thor DM-21 Agena-B,Discoverer 31
127,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/10/1961,Thor DM-21 Agena-B,Discoverer 32
128,General Dynamics,USA,"SLC-3E, Vandenberg AFB, California, USA",21/10/1961,Atlas-LV3 Agena-B,Midas 4
129,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",23/10/1961,Thor DM-21 Agena-B,Discoverer 33
130,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",27/10/1961,Cosmos-2I (63S1),DS-1 1
131,NASA,USA,"LC-18B, Cape Canaveral AFS, Florida, USA",01/11/1961,Blue Scout II,Mercury-Scout 1 (MS-1)
132,US Air Force,USA,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",05/11/1961,Thor DM-21 Agena-B,Discoverer 34
133,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",15/11/1961,Thor DM-21 Agena-B,Discoverer 35
134,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",15/11/1961,Thor-DM21 Ablestar,Transit 4B & TRAAC
135,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",18/11/1961,Atlas-LV3 Agena-B,Ranger 2
136,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",22/11/1961,Atlas-LV3 Agena-B,Samos 4
137,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",29/11/1961,Atlas-D Mercury,Mercury-Atlas 5 (MA-5)
138,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/12/1961,Vostok,Zenit-2 nâ Â­1
139,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",12/12/1961,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1
140,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",21/12/1961,Cosmos-2I (63S1),DS-1 2
141,General Dynamics,USA,"SLC-3E, Vandenberg AFB, California, USA",22/12/1961,Atlas-LV3 Agena-B,Samos 5
142,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/01/1962,Thor DM-21 Agena-B,Discoverer 37
143,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",24/01/1962,Thor-DM21 Ablestar,LOFTI-2A & Others
144,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",26/01/1962,Atlas-LV3 Agena-B,Ranger 3
145,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",08/02/1962,Thor DM-19 Delta,TIROS-4
146,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",20/02/1962,Atlas-D Mercury,Friendship 7 (MA-6)
147,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21/02/1962,Thor DM-21 Agena-B,FTV 2301
148,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",27/02/1962,Thor DM-21 Agena-B,Discoverer 38
149,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/03/1962,Thor DM-19 Delta,OSO-1
150,General Dynamics,USA,"SLC-3E, Vandenberg AFB, California, USA",07/03/1962,Atlas-LV3 Agena-B,Samos 6
151,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",16/03/1962,Cosmos-2I (63S1),Cosmos 1
152,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",06/04/1962,Cosmos-2I (63S1),Cosmos 2
153,General Dynamics,USA,"SLC-3E, Vandenberg AFB, California, USA",09/04/1962,Atlas-LV3 Agena-B,Midas 5
154,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/04/1962,Thor DM-21 Agena-B,Discoverer 39
155,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",23/04/1962,Atlas-LV3 Agena-B,Ranger 4
156,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",24/04/1962,Cosmos-2I (63S1),Cosmos 3
157,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",26/04/1962,Vostok,Cosmos 4
158,NASA,USA,"LA-3, Wallops Flight Facility, Virginia, USA",26/04/1962,Scout X-2,Solrad 4B
159,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/04/1962,Thor DM-19 Delta,Ariel 1
160,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",26/04/1962,Atlas-LV3 Agena-B,Samos 7
161,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29/04/1962,Thor DM-21 Agena-B,FTV 1125
162,General Dynamics,USA,"SLC-36A, Cape Canaveral AFS, Florida, USA",08/05/1962,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle)
163,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",10/05/1962,Thor-DM21 Ablestar,ANNA 1A
164,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15/05/1962,Thor DM-21 Agena-B,FTV 1126
165,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",24/05/1962,Atlas-D Mercury,Aurora 7 (MA-7)
166,US Air Force,USA,"SLC-5, Vandenberg AFB, California, USA",24/05/1962,Scout X-2M,DSAP-1 F1 (Program 35)
167,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",28/05/1962,Cosmos-2I (63S1),Cosmos 5
168,US Air Force,USA,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",30/05/1962,Thor DM-21 Agena-B,FTV 1128
169,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01/06/1962,Vostok-2,Zenit-2 nâ Â­3
170,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",02/06/1962,Thor-DM18 Agena-A,FTV 1127 & Oscar 2
171,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",17/06/1962,Atlas-LV3 Agena-B,Samos 8
172,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/06/1962,Thor DM-21 Agena-B,FTV 2312
173,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",19/06/1962,Thor DM-19 Delta,TIROS-5
174,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",23/06/1962,Thor DM-21 Agena-B,FTV 1129
175,US Air Force,USA,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",28/06/1962,Thor DM-21 Agena-D,FTV 1151
176,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",30/06/1962,Cosmos-2I (63S1),Cosmos 6
177,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",10/07/1962,Thor DM-19 Delta,Telstar 1
178,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",18/07/1962,Atlas-LV3 Agena-B,Samos 9
179,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21/07/1962,Thor DM-21 Agena-B,FTV 1130
180,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",22/07/1962,Atlas-LV3 Agena-B,Mariner 1
181,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28/07/1962,Thor DM-21 Agena-B,FTV 1131
182,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28/07/1962,Vostok-2,Cosmos 7
183,US Air Force,USA,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",02/08/1962,Thor DM-21 Agena-D,FTV 1152
184,General Dynamics,USA,"SLC-3W, Vandenberg AFB, California, USA",05/08/1962,Atlas-LV3 Agena-B,Samos 10
185,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/08/1962,Vostok,Vostok 3
186,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/08/1962,Vostok,Vostok 4
187,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",18/08/1962,Cosmos-2I (63S1),Cosmos 8
188,US Air Force,USA,"SLC-5, Vandenberg AFB, California, USA",23/08/1962,Scout X-2M,DSAP-1 F2 (Program 35)
189,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25/08/1962,Molniya,2MV-1 nâ Â­1 (Venera 2)
190,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",27/08/1962,Atlas-LV3 Agena-B,Mariner 2
191,US Air Force,USA,"SLC-2W, Vandenberg AFB, California, USA",29/08/1962,Thor DM-21 Agena-D,FTV 1153
192,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01/09/1962,Molniya,2MV-1 nâ Â­2 (Venera 2)
193,US Air Force,USA,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",01/09/1962,Thor DM-21 Agena-B,FTV 1132
194,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/09/1962,Molniya,2MV-2 nâ Â­1 (Venera 2)
195,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",17/09/1962,Thor DM-21 Agena-B,FTV 1133 & ERS-2
196,US Air Force,USA,"SLC-17A, Cape Canaveral AFS, Florida, USA",18/09/1962,Thor DM-19 Delta,TIROS-6
197,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27/09/1962,Vostok-2,Cosmos 9
198,US Air Force,USA,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",29/09/1962,Thor DM-21 Agena-B,Alouette 1 & TAVE
199,US Air Force,USA,"SLC-2W, Vandenberg AFB, California, USA",29/09/1962,Thor DM-21 Agena-D,FTV 1154
200,US Air Force,USA,"SLC-17B, Cape Canaveral AFS, Florida, USA",02/10/1962,Delta A,Explorer 14
201,NASA,USA,"LC-14, Cape Canaveral AFS, Florida, USA",03/10/1962,Atlas-D Mercury,Sigma 7 (MA-8)
202,US Air Force,USA,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",09/10/1962,Thor DM-21 Agena-B,FTV 1134
203,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",17/10/1962,Vostok-2,Cosmos 10
204,General Dynamics,USA,"LC-12, Cape Canaveral AFS, Florida, USA",18/10/1962,Atlas-LV3 Agena-B,Ranger 5
205,RVSN USSR,Russia,"Mayak-2, Kapustin Yar, Russia",20/10/1962,Cosmos-2I (63S1),Cosmos 11
206,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",24/10/1962,Molniya,2MV-4 nâ Â­1 (Mars 1)
