,Company,Country,Location,Date,Rocket,Mission
1044,General Dynamics,USA,"SLC-36A, Cape Canaveral AFS, Florida, USA",03/03/1972,Atlas-SLV3C Centaur-D,Pioneer 10
1045,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",04/03/1972,Voskhod,Cosmos 477
1046,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",15/03/1972,Voskhod,Cosmos 478
1047,US Air Force,USA,"SLC-4W, Vandenberg AFB, California, USA",17/03/1972,Titan III(24)B,OPS 1678
1048,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",22/03/1972,Cosmos-3M (11K65M),Cosmos 479
1049,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",25/03/1972,Cosmos-3M (11K65M),Cosmos 480
1050,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",25/03/1972,Cosmos-2I (63SM),Cosmos 481
1051,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",27/03/1972,Molniya-M /Block NVL,Venera 8
1052,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",30/03/1972,Vostok-2M,Meteor nâ Â­22
1053,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",31/03/1972,Molniya-M /Block NVL,Cosmos 482
1054,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",03/04/1972,Voskhod,Cosmos 483
1055,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",04/04/1972,Molniya-M /Block L,Molniya-1 nâ Â­26 & SRET-1
1056,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",06/04/1972,Voskhod,Cosmos 484
1057,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",07/04/1972,Voskhod,Intercosmos-6
1058,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",11/04/1972,Cosmos-2I (63SM),Cosmos 485
1059,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12/04/1972,Molniya-M /Block SO-L,Prognoz nâ Â­1
1060,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",14/04/1972,Voskhod,Cosmos 486
1061,NASA,USA,"LC-39A, Kennedy Space Center, Florida, USA",16/04/1972,Saturn V,Apollo 16
1062,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",21/04/1972,Cosmos-2I (63SM),Cosmos 487
1063,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",25/04/1972,Cosmos-2I (63SM),DS-P1-You #51
1064,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",05/05/1972,Voskhod,Cosmos 488
1065,RVSN USSR,Russia,"Site 132/1, Plesetsk Cosmodrome, Russia",06/05/1972,Cosmos-3M (11K65M),Cosmos 489
1066,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",17/05/1972,Voskhod,Cosmos 490
1067,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",19/05/1972,Molniya-M /Block L,Molniya-2 nâ Â­27
1068,US Air Force,USA,"SLC-4W, Vandenberg AFB, California, USA",20/05/1972,Titan III(24)B,OPS 6574
1069,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",25/05/1972,Voskhod,Cosmos 491
1070,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",09/06/1972,Voskhod,Cosmos 492
1071,General Dynamics,USA,"SLC-36B, Cape Canaveral AFS, Florida, USA",13/06/1972,Atlas-SLV3C Centaur-D,Intelsat 4 F5
1072,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",21/06/1972,Voskhod,Cosmos 493
1073,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",23/06/1972,Cosmos-3M (11K65M),Cosmos 494
1074,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",23/06/1972,Voskhod,Cosmos 495
1075,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",29/06/1972,Molniya-M /Block SO-L,Prognoz nâ Â­2
1076,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",30/06/1972,Cosmos-2I (63SM),Cosmos 497
1077,RVSN USSR,Russia,"Site 41/1, Plesetsk Cosmodrome, Russia",30/06/1972,Vostok-2M,Meteor nâ Â­23
1078,RVSN USSR,Kazakhstan,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/07/1972,Soyuz,Cosmos 496
1079,RVSN USSR,Russia,"Site 133/3, Plesetsk Cosmodrome, Russia",05/07/1972,Cosmos-2I (63SM),Cosmos 498
1080,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",06/07/1972,Voskhod,Cosmos 499
1081,Martin Marietta,USA,"SLC-4E, Vandenberg AFB, California, USA",07/07/1972,Titan IIID,KH-9 & SSF-B-23
1082,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",10/07/1972,Cosmos-3M (11K65M),Cosmos 500
1083,RVSN USSR,Russia,"Site 86/1, Kapustin Yar, Russia",12/07/1972,Cosmos-2I (63SM),Cosmos 501
1084,RVSN USSR,Russia,"Site 43/4, Plesetsk Cosmodrome, Russia",13/07/1972,Soyuz M,Cosmos 502
1085,RVSN USSR,Russia,"Site 43/3, Plesetsk Cosmodrome, Russia",19/07/1972,Voskhod,Cosmos 503
1086,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",20/07/1972,Cosmos-3M (11K65M),Cosmos 504 to 511
1087,RVSN USSR,Kazakhstan,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",29/07/1972,Proton K/Block D,DOS-2
1088,RVSN USSR,Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",02/08/1972,Voskhod,Cosmos 513
1089,CASC,China,"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",10/08/1972,Feng Bao 1,Shiyan Peizhong
1090,RVSN USSR,Russia,"Site 132/2, Plesetsk Cosmodrome, Russia",16/08/1972,Cosmos-3M (11K65M),Cosmos 514
