,Country,Company,Year,Rocket,MissionStatus,RocketStatus
95,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
96,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
97,USA,NASA,1961,Atlas-D Mercury,Success,Retired
98,USA,US Air Force,1961,Thor-DM21 Ablestar,Success,Retired
99,Kazakhstan,RVSN USSR,1961,Vostok,Success,Retired
100,USA,NASA,1961,Mercury-Redstone,Success,Retired
101,Kazakhstan,RVSN USSR,1961,Vostok,Success,Retired
102,USA,US Air Force,1961,Thor DM-19 Delta,Success,Retired
103,USA,US Air Force,1961,Thor DM-21 Agena-B,Failure,Retired
104,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
105,Kazakhstan,RVSN USSR,1961,Vostok,Success,Retired
106,USA,NASA,1961,Atlas-D Mercury,Failure,Retired
107,USA,NASA,1961,Mercury-Redstone,Success,Retired
108,USA,US Air Force,1961,Thor DM-21 Agena-B,Failure,Retired
109,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
110,USA,US Air Force,1961,Thor-DM21 Ablestar,Success,Retired
111,USA,NASA,1961,Scout X-1,Failure,Retired
112,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
113,USA,US Air Force,1961,Thor DM-19 Delta,Success,Retired
114,USA,General Dynamics,1961,Atlas-LV3 Agena-B,Success,Retired
115,USA,NASA,1961,Mercury-Redstone,Success,Retired
116,USA,US Air Force,1961,Thor DM-21 Agena-B,Failure,Retired
117,USA,US Air Force,1961,Thor DM-21 Agena-B,Failure,Retired
118,Kazakhstan,RVSN USSR,1961,Vostok,Success,Retired
119,USA,US Air Force,1961,Thor DM-19 Delta,Success,Retired
120,USA,General Dynamics,1961,Atlas-LV3 Agena-B,Failure,Retired
121,USA,NASA,1961,Scout X-1,Partial Failure,Retired
122,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
123,USA,General Dynamics,1961,Atlas-LV3 Agena-B,Failure,Retired
124,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
125,USA,NASA,1961,Atlas-D Mercury,Success,Retired
126,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
127,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
128,USA,General Dynamics,1961,Atlas-LV3 Agena-B,Partial Failure,Retired
129,USA,US Air Force,1961,Thor DM-21 Agena-B,Failure,Retired
130,Russia,RVSN USSR,1961,Cosmos-2I (63S1),Failure,Retired
131,USA,NASA,1961,Blue Scout II,Failure,Retired
132,USA,US Air Force,1961,Thor DM-21 Agena-B,Failure,Retired
133,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
134,USA,US Air Force,1961,Thor-DM21 Ablestar,Success,Retired
135,USA,General Dynamics,1961,Atlas-LV3 Agena-B,Failure,Retired
136,USA,General Dynamics,1961,Atlas-LV3 Agena-B,Failure,Retired
137,USA,NASA,1961,Atlas-D Mercury,Success,Retired
138,Kazakhstan,RVSN USSR,1961,Vostok,Failure,Retired
139,USA,US Air Force,1961,Thor DM-21 Agena-B,Success,Retired
140,Russia,RVSN USSR,1961,Cosmos-2I (63S1),Failure,Retired
141,USA,General Dynamics,1961,Atlas-LV3 Agena-B,Partial Failure,Retired
142,USA,US Air Force,1962,Thor DM-21 Agena-B,Failure,Retired
143,USA,US Air Force,1962,Thor-DM21 Ablestar,Failure,Retired
144,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Partial Failure,Retired
145,USA,US Air Force,1962,Thor DM-19 Delta,Success,Retired
146,USA,NASA,1962,Atlas-D Mercury,Success,Retired
147,USA,US Air Force,1962,Thor DM-21 Agena-B,Partial Failure,Retired
148,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
149,USA,US Air Force,1962,Thor DM-19 Delta,Success,Retired
150,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
151,Russia,RVSN USSR,1962,Cosmos-2I (63S1),Success,Retired
152,Russia,RVSN USSR,1962,Cosmos-2I (63S1),Success,Retired
153,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
154,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
155,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
156,Russia,RVSN USSR,1962,Cosmos-2I (63S1),Success,Retired
157,Kazakhstan,RVSN USSR,1962,Vostok,Success,Retired
158,USA,NASA,1962,Scout X-2,Failure,Retired
159,USA,US Air Force,1962,Thor DM-19 Delta,Success,Retired
160,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
161,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
162,USA,General Dynamics,1962,Atlas-LV3C Centaur-A,Failure,Retired
163,USA,US Air Force,1962,Thor-DM21 Ablestar,Failure,Retired
164,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
165,USA,NASA,1962,Atlas-D Mercury,Success,Retired
166,USA,US Air Force,1962,Scout X-2M,Failure,Retired
167,Russia,RVSN USSR,1962,Cosmos-2I (63S1),Success,Retired
168,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
169,Kazakhstan,RVSN USSR,1962,Vostok-2,Failure,Retired
170,USA,US Air Force,1962,Thor-DM18 Agena-A,Success,Retired
171,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
172,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
173,USA,US Air Force,1962,Thor DM-19 Delta,Success,Retired
174,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
175,USA,US Air Force,1962,Thor DM-21 Agena-D,Success,Retired
176,Russia,RVSN USSR,1962,Cosmos-2I (63S1),Success,Retired
177,USA,US Air Force,1962,Thor DM-19 Delta,Success,Retired
178,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
179,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
180,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Failure,Retired
181,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
182,Kazakhstan,RVSN USSR,1962,Vostok-2,Success,Retired
183,USA,US Air Force,1962,Thor DM-21 Agena-D,Success,Retired
184,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
185,Kazakhstan,RVSN USSR,1962,Vostok,Success,Retired
186,Kazakhstan,RVSN USSR,1962,Vostok,Success,Retired
187,Russia,RVSN USSR,1962,Cosmos-2I (63S1),Success,Retired
188,USA,US Air Force,1962,Scout X-2M,Success,Retired
189,Kazakhstan,RVSN USSR,1962,Molniya,Failure,Retired
190,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
191,USA,US Air Force,1962,Thor DM-21 Agena-D,Success,Retired
192,Kazakhstan,RVSN USSR,1962,Molniya,Failure,Retired
193,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
194,Kazakhstan,RVSN USSR,1962,Molniya,Failure,Retired
195,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
196,USA,US Air Force,1962,Thor DM-19 Delta,Success,Retired
197,Kazakhstan,RVSN USSR,1962,Vostok-2,Success,Retired
198,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
199,USA,US Air Force,1962,Thor DM-21 Agena-D,Success,Retired
200,USA,US Air Force,1962,Delta A,Success,Retired
201,USA,NASA,1962,Atlas-D Mercury,Success,Retired
202,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
203,Kazakhstan,RVSN USSR,1962,Vostok-2,Success,Retired
204,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
205,Russia,RVSN USSR,1962,Cosmos-2I (63S1),Success,Retired
206,Kazakhstan,RVSN USSR,1962,Molniya,Failure,Retired
207,Russia,RVSN USSR,1962,Cosmos-2I (63S1),Failure,Retired
208,USA,US Air Force,1962,Thor DM-21 Agena-D,Success,Retired
209,USA,US Air Force,1962,Delta A,Success,Retired
210,USA,US Air Force,1962,Thor-DM21 Ablestar,Success,Retired
211,Kazakhstan,RVSN USSR,1962,Molniya,Success,Retired
212,Kazakhstan,RVSN USSR,1962,Molniya,Failure,Retired
213,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
214,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Success,Retired
215,USA,US Air Force,1962,Thor DM-21 Agena-B,Success,Retired
216,USA,US Air Force,1962,Thor DM-21 Agena-D,Success,Retired
217,USA,US Air Force,1962,Thor DM-21 Agena-D,Success,Retired
218,USA,US Air Force,1962,Delta B,Success,Retired
219,USA,US Air Force,1962,Thor DM-21 Agena-D,Success,Retired
220,USA,NASA,1962,Scout X-3,Success,Retired
221,USA,General Dynamics,1962,Atlas-LV3 Agena-B,Failure,Retired
222,USA,US Air Force,1962,Scout X-3,Success,Retired
223,Kazakhstan,RVSN USSR,1962,Vostok-2,Success,Retired
224,Kazakhstan,RVSN USSR,1963,Molniya,Failure,Retired
225,Kazakhstan,RVSN USSR,1963,Molniya,Failure,Retired
226,USA,US Air Force,1963,Scout X-3M,Success,Retired
227,Kazakhstan,RVSN USSR,1963,Vostok-2,Success,Retired
228,Kazakhstan,RVSN USSR,1963,Molniya,Success,Retired
229,USA,US Air Force,1963,Scout X-3,Failure,Retired
230,Russia,RVSN USSR,1963,Cosmos-2I (63S1),Failure,Retired
231,Russia,RVSN USSR,1963,Cosmos-2I (63S1),Success,Retired
232,Kazakhstan,RVSN USSR,1963,Vostok-2,Success,Retired
233,USA,US Air Force,1963,Scout X-2M,Failure,Retired
234,Kazakhstan,RVSN USSR,1963,Vostok-2,Success,Retired
235,USA,General Dynamics,1963,Atlas-LV3 Agena-B,Success,Retired
236,USA,NASA,1963,Atlas-D Mercury,Success,Retired
237,Russia,RVSN USSR,1963,Cosmos-2I (63S1),Success,Retired
238,Kazakhstan,RVSN USSR,1963,Vostok-2,Success,Retired
239,Russia,RVSN USSR,1963,Cosmos-2I (63S1),Failure,Retired
240,USA,General Dynamics,1963,Atlas-LV3 Agena-B,Failure,Retired
241,Kazakhstan,RVSN USSR,1963,Vostok,Success,Retired
242,USA,US Air Force,1963,Scout X-3,Success,Retired
243,Kazakhstan,RVSN USSR,1963,Vostok,Success,Retired
244,USA,US Air Force,1963,Scout X-4,Success,Retired
245,Kazakhstan,RVSN USSR,1963,Vostok-2,Failure,Retired
246,USA,General Dynamics,1963,Atlas-LV3 Agena-D,Success,Retired
247,USA,General Dynamics,1963,Atlas-LV3 Agena-B,Success,Retired
248,Russia,RVSN USSR,1963,Cosmos-2I (63S1),Success,Retired
249,Russia,RVSN USSR,1963,Cosmos-2I (63S1),Failure,Retired
250,USA,General Dynamics,1963,Atlas-LV3 Agena-D,Success,Retired
