,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Columna
0,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1957,19:28:00,Sputnik 8K71PS,Sputnik-1,Retired,,Success,
1,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",03/11/1957,02:30:00,Sputnik 8K71PS,Sputnik-2,Retired,,Success,
2,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",06/12/1957,16:44:00,Vanguard,Vanguard TV3,Retired,,Failure,
3,AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",01/02/1958,03:48:00,Juno I,Explorer 1,Retired,,Success,
4,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",05/02/1958,07:33:00,Vanguard,Vanguard TV3BU,Retired,,Failure,
5,AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA",05/03/1958,18:27:00,Juno I,Explorer 2,Retired,,Failure,
6,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",17/03/1958,12:15:00,Vanguard,Vanguard 1,Retired,,Success,
7,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",26/03/1958,17:38:00,Juno I,Explorer 3,Retired,,Success,
8,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",27/04/1958,09:01:00,Sputnik 8A91,Sputnik-3 #1,Retired,,Failure,
9,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",28/04/1958,02:53:00,Vanguard,Vanguard TV5,Retired,,Failure,
10,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1958,07:12:00,Sputnik 8A91,Sputnik-3 #2,Retired,,Success,
11,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",28/05/1958,03:46:00,Vanguard,Vanguard SLV-1,Retired,,Failure,
12,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",26/06/1958,05:00:00,Vanguard,Vanguard SLV-2,Retired,,Failure,
13,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/07/1958,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,,Failure,D1
14,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",26/07/1958,15:00:00,Juno I,Explorer 4,Retired,,Success,
15,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",12/08/1958,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,,Failure,D2
16,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/08/1958,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,,Failure,
17,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",22/08/1958,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,,Failure,D3
18,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",24/08/1958,06:17:00,Juno I,Explorer 5,Retired,,Failure,
19,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",25/08/1958,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,,Failure,R1
20,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",26/08/1958,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,,Failure,R2
21,US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",29/08/1958,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,,Failure,
22,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",23/09/1958,07:40:00,Vostok,E-1 nâ Â­1 (Luna-1),Retired,,Failure,Luna-1
23,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",26/09/1958,15:38:00,Vanguard,Vanguard SLV-3,Retired,,Failure,
24,NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/10/1958,08:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,,Partial Failure,
25,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/10/1958,21:41:00,Vostok,E-1 nâ Â­2 (Luna-1),Retired,,Failure,Luna-1
26,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",23/10/1958,03:21:00,Juno I,Beacon 1,Retired,,Failure,
27,NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",08/11/1958,07:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,,Failure,
28,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/12/1958,18:18:00,Vostok,E-1 nâ Â­3 (Luna-1),Retired,,Failure,Luna-1
29,AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",06/12/1958,05:44:00,Juno II,Pioneer 3,Retired,,Partial Failure,
30,US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",18/12/1958,23:02:00,SM-65B Atlas,SCORE,Retired,,Success,
31,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",02/01/1959,16:41:00,Vostok,Luna-1,Retired,,Partial Failure,
32,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",17/02/1959,15:55:00,Vanguard,Vanguard 2,Retired,,Success,
33,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28/02/1959,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,,Failure,
34,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/04/1959,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,,Success,
35,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",14/04/1959,02:49:00,Vanguard,Vanguard SLV-5,Retired,,Failure,
36,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",03/06/1959,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,,Failure,
37,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",18/06/1959,08:08:00,Vostok,E-1A nâ Â­1 (Luna-2),Retired,,Failure,Luna-2
38,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",22/06/1959,20:16:00,Vanguard,Vanguard SLV-6,Retired,,Failure,
39,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",25/06/1959,22:47:00,Thor-DM18 Agena-A,Discoverer 4,Retired,,Failure,
40,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/08/1959,14:24:00,Thor DM-18 Able-III,Explorer 6,Retired,,Success,
41,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/08/1959,19:00:00,Thor-DM18 Agena-A,Discoverer 5,Retired,,Success,
42,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/08/1959,19:24:00,Thor-DM18 Agena-A,Discoverer 6,Retired,,Success,
43,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",09/09/1959,08:19:00,Atlas-D Mercury,Big Joe 1,Retired,,Partial Failure,
44,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/09/1959,06:39:00,Vostok,Luna-2,Retired,,Success,
45,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",17/09/1959,14:34:00,Thor DM-18 Able-II,Transit 1A,Retired,,Failure,
46,US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",18/09/1959,05:20:00,Vanguard,Vanguard 3,Retired,,Partial Failure,
47,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/10/1959,00:43:00,Vostok,Luna-3,Retired,,Success,
48,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/11/1959,20:28:00,Thor-DM18 Agena-A,Discoverer 7,Retired,,Success,
49,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/11/1959,19:25:00,Thor-DM18 Agena-A,Discoverer 8,Retired,,Failure,
50,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",26/11/1959,07:26:00,Atlas-D Able,Pioneer P-3,Retired,,Failure,
51,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",04/02/1960,18:51:00,Thor-DM18 Agena-A,Discoverer 9,Retired,,Failure,
52,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19/02/1960,20:15:00,Thor-DM18 Agena-A,Discoverer 10,Retired,,Failure,
53,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",26/02/1960,17:25:00,Atlas-LV3 Agena-A,Midas 1,Retired,,Failure,
54,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",11/03/1960,13:00:00,Thor DM-18 Able-IV,Pioneer 5,Retired,,Success,
55,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",01/04/1960,11:40:00,Thor DM-18 Able-II,TIROS-1,Retired,,Success,
56,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",13/04/1960,12:02:00,Thor-DM21 Ablestar,Transit 1B,Retired,,Success,
57,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/04/1960,15:06:00,Vostok,E-3 nâ Â­2 (Luna-3),Retired,,Failure,Luna-3
58,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15/04/1960,20:30:00,Thor-DM18 Agena-A,Discoverer 11,Retired,,Success,
59,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",16/04/1960,,Vostok,E-3 nâ Â­3 (Luna-3),Retired,,Failure,Luna-3
60,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",13/05/1960,09:16:00,Thor DM-19 Delta,Echo 1,Retired,,Failure,
61,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/05/1960,00:00:00,Vostok,Korabl-Sputnik 1,Retired,,Success,
62,General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",24/05/1960,17:36:00,Atlas-LV3 Agena-A,Midas 2,Retired,,Success,
63,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",22/06/1960,05:54:00,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,,Success,
64,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29/06/1960,22:00:00,Thor-DM18 Agena-A,Discoverer 12,Retired,,Failure,
65,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28/07/1960,09:31:00,Vostok,1K nâ Â­2 (Korabl-Sputnik 2),Retired,,Failure,Korabl-Sputnik 2
66,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",29/07/1960,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,,Failure,MA-1
67,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",10/08/1960,20:37:00,Thor-DM18 Agena-A,Discoverer 13,Retired,,Success,
68,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",12/08/1960,09:39:00,Thor DM-19 Delta,Echo 1A,Retired,,Success,
69,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",18/08/1960,19:57:00,Thor-DM18 Agena-A,Discoverer 14,Retired,,Success,
70,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",18/08/1960,19:58:00,Thor-DM21 Ablestar,Courier 1A,Retired,,Failure,
71,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",19/08/1960,08:44:00,Vostok,Korabl-Sputnik 2,Retired,,Success,
72,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",13/09/1960,22:14:00,Thor-DM18 Agena-A,Discoverer 15,Retired,,Success,
73,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",25/09/1960,15:13:00,Atlas-D Able,Pioneer P-30,Retired,,Failure,
74,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",04/10/1960,17:50:00,Thor-DM21 Ablestar,Courier 1B,Retired,,Success,
75,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/10/1960,14:27:00,Molniya,1M nâ Â­1 (Marsnik 1),Retired,,Failure,Marsnik 1
76,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",11/10/1960,20:33:00,Atlas-LV3 Agena-A,Samos 1,Retired,,Failure,
77,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",14/10/1960,13:51:00,Molniya,1M nâ Â­2 (Marsnik 2),Retired,,Failure,Marsnik 2
78,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",26/10/1960,20:26:00,Thor DM-21 Agena-B,Discoverer 16,Retired,,Failure,
79,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12/11/1960,20:43:00,Thor DM-21 Agena-B,Discoverer 17,Retired,,Success,
80,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",21/11/1960,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,,Failure,MR-1
81,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",23/11/1960,11:13:00,Thor DM-19 Delta,TIROS-2,Retired,,Success,
82,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",30/11/1960,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,,Failure,
83,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01/12/1960,07:30:00,Vostok,Korabl-Sputnik 3,Retired,,Success,
84,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",04/12/1960,21:14:00,Scout X-1,Explorer (S-56),Retired,,Failure,S-56
85,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07/12/1960,20:20:00,Thor DM-21 Agena-B,Discoverer 18,Retired,,Success,
86,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",15/12/1960,09:10:00,Atlas-D Able,Pioneer P-31,Retired,,Failure,
87,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",19/12/1960,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,,Success,MR-1A
88,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20/12/1960,20:32:00,Thor DM-21 Agena-B,Discoverer 19,Retired,,Success,
89,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",22/12/1960,07:45:00,Vostok,1K nâ Â­5 (Korabl-Sputnik 3),Retired,,Failure,Korabl-Sputnik 3
90,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",31/01/1961,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,,Success,MR-2
91,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",31/01/1961,20:21:00,Atlas-LV3 Agena-A,Samos 2,Retired,,Success,
92,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04/02/1961,01:18:00,Molniya,1VA nâ Â­1 (Venera 1),Retired,,Failure,Venera 1
93,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/02/1961,00:34:00,Molniya,Venera 1,Retired,,Success,
94,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",16/02/1961,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,,Success,S-56A
95,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",17/02/1961,20:25:00,Thor DM-21 Agena-B,Discoverer 20,Retired,,Success,
96,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/02/1961,22:58:00,Thor DM-21 Agena-B,Discoverer 21,Retired,,Success,
97,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",21/02/1961,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,,Success,MA-2
98,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",22/02/1961,03:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,,Success,
99,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",09/03/1961,06:29:00,Vostok,Korabl-Sputnik 4,Retired,,Success,
100,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",24/03/1961,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,,Success,MR-BD
101,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25/03/1961,05:54:00,Vostok,Korabl-Sputnik 5,Retired,,Success,
102,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",25/03/1961,15:17:00,Thor DM-19 Delta,Explorer 10,Retired,,Success,
103,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30/03/1961,20:34:00,Thor DM-21 Agena-B,Discoverer 22,Retired,,Failure,
104,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",08/04/1961,19:21:00,Thor DM-21 Agena-B,Discoverer 23,Retired,,Success,
105,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/04/1961,06:07:00,Vostok,Vostok 1,Retired,,Success,
106,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",25/04/1961,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,,Failure,MA-3
107,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",05/05/1961,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,,Success,MR-3
108,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",08/06/1961,21:16:00,Thor DM-21 Agena-B,Discoverer 24,Retired,,Failure,
109,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",16/06/1961,23:02:00,Thor DM-21 Agena-B,Discoverer 25,Retired,,Success,
110,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",29/06/1961,04:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,,Success,
111,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",30/06/1961,17:09:00,Scout X-1,Explorer (S-55),Retired,,Failure,S-55
112,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",07/07/1961,23:29:00,Thor DM-21 Agena-B,Discoverer 26,Retired,,Success,
113,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",12/07/1961,10:25:00,Thor DM-19 Delta,TIROS-3,Retired,,Success,
114,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",12/07/1961,15:11:00,Atlas-LV3 Agena-B,Midas 3,Retired,,Success,
115,NASA,"LC-5, Cape Canaveral AFS, Florida, USA",21/07/1961,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,,Success,MR-4
116,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",21/07/1961,22:35:00,Thor DM-21 Agena-B,Discoverer 27,Retired,,Failure,
117,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",04/08/1961,00:01:00,Thor DM-21 Agena-B,Discoverer 28,Retired,,Failure,
118,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",06/08/1961,06:00:00,Vostok,Vostok 2,Retired,,Success,
119,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",16/08/1961,03:21:00,Thor DM-19 Delta,Explorer 12,Retired,,Success,
120,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",23/08/1961,10:04:00,Atlas-LV3 Agena-B,Ranger 1,Retired,,Failure,
121,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",25/08/1961,18:29:00,Scout X-1,Explorer 13,Retired,,Partial Failure,
122,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30/08/1961,20:00:00,Thor DM-21 Agena-B,Discoverer 29,Retired,,Success,
123,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",09/09/1961,19:28:00,Atlas-LV3 Agena-B,Samos 3,Retired,,Failure,
124,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12/09/1961,19:59:00,Thor DM-21 Agena-B,Discoverer 30,Retired,,Success,
125,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",13/09/1961,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,,Success,MA-4
126,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",17/09/1961,21:00:00,Thor DM-21 Agena-B,Discoverer 31,Retired,,Success,
127,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/10/1961,19:22:00,Thor DM-21 Agena-B,Discoverer 32,Retired,,Success,
128,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",21/10/1961,13:53:00,Atlas-LV3 Agena-B,Midas 4,Retired,,Partial Failure,
129,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",23/10/1961,19:23:00,Thor DM-21 Agena-B,Discoverer 33,Retired,,Failure,
130,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",27/10/1961,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,,Failure,
131,NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",01/11/1961,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,,Failure,MS-1
132,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",05/11/1961,20:00:00,Thor DM-21 Agena-B,Discoverer 34,Retired,,Failure,
133,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",15/11/1961,21:23:00,Thor DM-21 Agena-B,Discoverer 35,Retired,,Success,
134,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",15/11/1961,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,,Success,
135,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",18/11/1961,08:12:00,Atlas-LV3 Agena-B,Ranger 2,Retired,,Failure,
136,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",22/11/1961,20:45:00,Atlas-LV3 Agena-B,Samos 4,Retired,,Failure,
137,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",29/11/1961,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,,Success,MA-5
138,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/12/1961,09:39:00,Vostok,Zenit-2 nâ Â­1,Retired,,Failure,
139,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",12/12/1961,20:40:00,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,,Success,
140,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",21/12/1961,12:30:00,Cosmos-2I (63S1),DS-1 2,Retired,,Failure,
141,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",22/12/1961,19:12:00,Atlas-LV3 Agena-B,Samos 5,Retired,,Partial Failure,
142,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13/01/1962,21:41:00,Thor DM-21 Agena-B,Discoverer 37,Retired,,Failure,
143,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",24/01/1962,09:30:00,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,,Failure,
144,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",26/01/1962,20:30:00,Atlas-LV3 Agena-B,Ranger 3,Retired,,Partial Failure,
145,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",08/02/1962,12:43:00,Thor DM-19 Delta,TIROS-4,Retired,,Success,
146,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",20/02/1962,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),Retired,,Success,MA-6
147,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21/02/1962,18:44:00,Thor DM-21 Agena-B,FTV 2301,Retired,,Partial Failure,
148,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",27/02/1962,19:39:00,Thor DM-21 Agena-B,Discoverer 38,Retired,,Success,
149,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",07/03/1962,16:06:00,Thor DM-19 Delta,OSO-1,Retired,,Success,
150,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",07/03/1962,22:10:00,Atlas-LV3 Agena-B,Samos 6,Retired,,Success,
151,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",16/03/1962,11:59:00,Cosmos-2I (63S1),Cosmos 1,Retired,,Success,
152,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",06/04/1962,17:15:00,Cosmos-2I (63S1),Cosmos 2,Retired,,Success,
153,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",09/04/1962,15:04:00,Atlas-LV3 Agena-B,Midas 5,Retired,,Success,
154,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/04/1962,00:54:00,Thor DM-21 Agena-B,Discoverer 39,Retired,,Success,
155,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",23/04/1962,20:50:00,Atlas-LV3 Agena-B,Ranger 4,Retired,,Success,
156,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",24/04/1962,04:00:00,Cosmos-2I (63S1),Cosmos 3,Retired,,Success,
157,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",26/04/1962,10:02:00,Vostok,Cosmos 4,Retired,,Success,
158,NASA,"LA-3, Wallops Flight Facility, Virginia, USA",26/04/1962,10:49:00,Scout X-2,Solrad 4B,Retired,,Failure,
159,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",26/04/1962,18:00:00,Thor DM-19 Delta,Ariel 1,Retired,,Success,
160,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",26/04/1962,18:56:00,Atlas-LV3 Agena-B,Samos 7,Retired,,Success,
161,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29/04/1962,00:30:00,Thor DM-21 Agena-B,FTV 1125,Retired,,Success,
162,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",08/05/1962,19:49:00,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,,Failure,Test Vehicle
163,US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",10/05/1962,12:06:00,Thor-DM21 Ablestar,ANNA 1A,Retired,,Failure,
164,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15/05/1962,19:36:00,Thor DM-21 Agena-B,FTV 1126,Retired,,Success,
165,NASA,"LC-14, Cape Canaveral AFS, Florida, USA",24/05/1962,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),Retired,,Success,MA-7
166,US Air Force,"SLC-5, Vandenberg AFB, California, USA",24/05/1962,,Scout X-2M,DSAP-1 F1 (Program 35),Retired,,Failure,Program 35
167,RVSN USSR,"Mayak-2, Kapustin Yar, Russia",28/05/1962,03:00:00,Cosmos-2I (63S1),Cosmos 5,Retired,,Success,
168,US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",30/05/1962,01:00:00,Thor DM-21 Agena-B,FTV 1128,Retired,,Success,
169,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01/06/1962,09:37:00,Vostok-2,Zenit-2 nâ Â­3,Retired,,Failure,
170,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",02/06/1962,00:31:00,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,,Success,
171,General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",17/06/1962,18:14:00,Atlas-LV3 Agena-B,Samos 8,Retired,,Success,
172,US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18/06/1962,20:20:00,Thor DM-21 Agena-B,FTV 2312,Retired,,Success,
173,US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",19/06/1962,12:19:00,Thor DM-19 Delta,TIROS-5,Retired,,Success,
174,US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",23/06/1962,00:30:00,Thor DM-21 Agena-B,FTV 1129,Retired,,Success,
