,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus,Columna
2416,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",27/01/1989,01:21:00,Ariane 2,Intelsat-5A 15,Retired,,Success,
2417,RVSN USSR,"Site 32/1, Plesetsk Cosmodrome, Russia",10/02/1989,15:13:00,Tsyklon-3,Cosmos 1994 to 1999,Retired,,Success,
2418,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",14/02/1989,04:21:00,Molniya-M /Block 2BL,Cosmos 2001,Retired,,Success,
2419,Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA",14/02/1989,18:30:00,Delta II 6925,NAVSTAR II-1 (USA 35),Retired,,Success,USA 35
2420,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",14/02/1989,,Cosmos-3M (11K65M),Cosmos 2002,Retired,,Success,
2421,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15/02/1989,11:00:00,Molniya-M /Block ML,Molniya-1 nâ Â­137,Retired,,Success,
2422,ISAS,"Mu Pad, Uchinoura Space Center, Japan",21/02/1989,23:30:00,Mu-III S2,Akebono,Retired,,Success,
2423,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",22/02/1989,03:28:00,Cosmos-3M (11K65M),Cosmos 2004,Retired,,Success,
2424,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",26/02/1989,15:36:00,Cosmos-3M (11K65M),Cosmos 1992,Retired,,Success,
2425,RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia",28/02/1989,04:04:00,Tsyklon-3,Meteor-2 nâ Â­18,Retired,,Success,
2426,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",06/03/1989,23:29:00,Ariane 44LP,JCSAT-1 & Meteosat 4,Retired,,Success,
2427,NASA,"LC-39B, Kennedy Space Center, Florida, USA",13/03/1989,14:57:00,Space Shuttle Discovery,STS-29R,Retired,450,Success,
2428,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",24/03/1989,13:38:00,Cosmos-3M (11K65M),Cosmos 2008 to 2015,Retired,,Success,
2429,Douglas,"SLC-17A, Cape Canaveral AFS, Florida, USA",24/03/1989,21:50:00,Delta 3920-8,Delta Star (USA 36),Retired,,Success,USA 36
2430,Arianespace,"ELA-1, Guiana Space Centre, French Guiana, France",02/04/1989,02:28:00,Ariane 2,TELE-X,Retired,,Success,
2431,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",04/04/1989,18:36:00,Cosmos-3M (11K65M),Cosmos 2016,Retired,,Success,
2432,NASA,"LC-39B, Kennedy Space Center, Florida, USA",04/05/1989,18:46:00,Space Shuttle Atlantis,STS-30R,Retired,450,Success,
2433,Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA",10/05/1989,19:47:00,Titan 34D,USA-37 (Vortex),Retired,,Success,Vortex
2434,ISRO,"SLV LP, Satish Dhawan Space Centre, India",22/05/1989,01:40:00,ASLV,SROSS C,Retired,,Partial Failure,
2435,Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France",05/06/1989,22:37:00,Ariane 44L,"Superbird-A, DFS-1",Retired,,Success,
2436,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",07/06/1989,05:12:00,Cosmos-3M (11K65M),Cosmos 2026,Retired,,Success,
