Country,Active,Retired,TotalCompaniesPerCountry,Company,Year,Rocket,MissionStatus,RocketStatus,Location,Date,Mission,SuccessfulLaunches,UnsuccessfulLaunches,SuccessToFailureRatio,SuccesfullLaunches,UnsuccessfullLaunches,TotalLaunches
Japan,,,,MHI,1992,H-I (9 SO),Success,Retired,,,,,,,,,
Russia,,,,RVSN USSR,1992,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
France,,,,Arianespace,1992,Ariane 44L,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Molniya-M /Block ML,Success,Retired,,,,,,,,,
Russia,,,,RVSN USSR,1992,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1992,Atlas I,Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,NASA,1992,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,RVSN USSR,1992,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
France,,,,Arianespace,1992,Ariane 44L,Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1992,Titan II(23)G,Success,Retired,,,,,,,,,
USA,,,,NASA,1992,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,RVSN USSR,1992,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 6920-10,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1992,Atlas IIA,Success,Retired,,,,,,,,,
USA,,,,NASA,1992,Space Shuttle Columbia,Success,Retired,,,,,,,,,
Russia,,,,RVSN USSR,1992,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1992,Atlas II,Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,RVSN USSR,1992,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
France,,,,Arianespace,1992,Ariane 44L,Success,Retired,,,,,,,,,
Russia,,,,RVSN USSR,1992,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 6925,Success,Retired,,,,,,,,,
USA,,,,NASA,1992,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Molniya-M /Block NVL,Success,Retired,,,,,,,,,
China,,,,CASC,1992,Long March 2D,Success,Active,,,,,,,,,
France,,,,Arianespace,1992,Ariane 42P,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
China,,,,CASC,1992,Long March 2E,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1992,Atlas I,Failure,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
France,,,,Arianespace,1992,Ariane 44LP,Success,Retired,,,,,,,,,
USA,,,,NASA,1992,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1992,Commercial Titan III,Success,Retired,,,,,,,,,
China,,,,CASC,1992,Long March 2C,Success,Active,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Molniya-M /Block ML,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,NASA,1992,Space Shuttle Columbia,Success,Retired,,,,,,,,,
France,,,,Arianespace,1992,Ariane 42P,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1992,Zenit-2,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Tsyklon-3,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1992,Titan IV(404)A,Success,Retired,,,,,,,,,
France,,,,Arianespace,1992,Ariane 42P,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Molniya-M /Block ML,Success,Retired,,,,,,,,,
USA,,,,NASA,1992,Space Shuttle Discovery,Success,Retired,,,,,,,,,
USA,,,,Boeing,1992,Delta II 7925,Success,Retired,,,,,,,,,
China,,,,CASC,1992,Long March 2E,Failure,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Tsyklon-3,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1992,Zenit-2,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1992,Tsyklon-3,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block ML,Success,Retired,,,,,,,,,
USA,,,,NASA,1993,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
USA,,,,Boeing,1993,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,Northrop,1993,Pegasus,Success,Retired,,,,,,,,,
Japan,,,,ISAS,1993,Mu-III S2,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Tsyklon-3,Success,Retired,,,,,,,,,
Russia,,,,MITT,1993,Start-1,Success,Active,,,,,,,,,
USA,,,,General Dynamics,1993,Atlas I,Failure,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1993,Zenit-2,Success,Retired,,,,,,,,,
USA,,,,Boeing,1993,Delta II 7925,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1993,Tsyklon-2,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
USA,,,,NASA,1993,Space Shuttle Discovery,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Tsyklon-3,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block ML,Success,Retired,,,,,,,,,
USA,,,,Northrop,1993,Pegasus,Success,Retired,,,,,,,,,
USA,,,,NASA,1993,Space Shuttle Columbia,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1993,Tsyklon-2,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Tsyklon-3,Success,Retired,,,,,,,,,
France,,,,Arianespace,1993,Ariane 42L,Success,Retired,,,,,,,,,
USA,,,,Boeing,1993,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block ML,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,NASA,1993,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Tsyklon-3,Success,Retired,,,,,,,,,
France,,,,Arianespace,1993,Ariane 44P,Success,Retired,,,,,,,,,
USA,,,,Boeing,1993,Delta II 7925,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1993,Tsyklon-2,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1993,Atlas II,Success,Retired,,,,,,,,,
France,,,,Arianespace,1993,Ariane 44L,Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1993,Titan IV(403)A,Failure,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block ML,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1993,Atlas-E/F Star-37S-ISS,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
USA,,,,Boeing,1993,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1993,Atlas I,Success,Retired,,,,,,,,,
USA,,,,NASA,1993,Space Shuttle Discovery,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1993,Zenit-2,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1993,Tsyklon-2,Success,Retired,,,,,,,,,
India,,,,ISRO,1993,PSLV-G,Failure,Retired,,,,,,,,,
France,,,,Arianespace,1993,Ariane 40,Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1993,Titan II(23)G,Failure,Retired,,,,,,,,,
China,,,,CASC,1993,Long March 2C,Success,Active,,,,,,,,,
USA,,,,NASA,1993,Space Shuttle Columbia,Success,Retired,,,,,,,,,
France,,,,Arianespace,1993,Ariane 44LP,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,Boeing,1993,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
France,,,,Arianespace,1993,Ariane 44LP,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1993,Atlas II,Success,Retired,,,,,,,,,
USA,,,,NASA,1993,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
USA,,,,Boeing,1993,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1993,Atlas IIAS,Success,Retired,,,,,,,,,
France,,,,Arianespace,1993,Ariane 44L,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1993,Molniya-M /Block ML,Success,Retired,,,,,,,,,
France,,,,Arianespace,1994,Ariane 44LP,Failure,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1994,Titan II(23)G,Success,Retired,,,,,,,,,
USA,,,,NASA,1994,Space Shuttle Discovery,Success,Retired,,,,,,,,,
Japan,,,,MHI,1994,H-II,Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1994,Titan IV(401)A,Success,Retired,,,,,,,,,
China,,,,CASC,1994,Long March 3A,Success,Active,,,,,,,,,
Russia,,,,VKS RF,1994,Tsyklon-3,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,NASA,1994,Space Shuttle Columbia,Success,Retired,,,,,,,,,
USA,,,,Boeing,1994,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,Northrop,1994,Minotaur C (Taurus),Success,Active,,,,,,,,,
USA,,,,Boeing,1994,Delta II 7925-8,Success,Retired,,,,,,,,,
USA,,,,NASA,1994,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1994,Atlas I,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1994,Zenit-2,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1994,Titan IV(401)A,Success,Retired,,,,,,,,,
India,,,,ISRO,1994,ASLV,Success,Retired,,,,,,,,,
USA,,,,Northrop,1994,Pegasus/HAPS,Partial Failure,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Tsyklon-3,Failure,Retired,,,,,,,,,
France,,,,Arianespace,1994,Ariane 44LP,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1994,Atlas I,Success,Retired,,,,,,,,,
USA,,,,Northrop,1994,Pegasus XL,Failure,Active,,,,,,,,,
China,,,,CASC,1994,Long March 2D,Success,Active,,,,,,,,,
USA,,,,NASA,1994,Space Shuttle Columbia,Success,Retired,,,,,,,,,
France,,,,Arianespace,1994,Ariane 44L,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
China,,,,CASC,1994,Long March 3,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,Lockheed,1994,Atlas IIA,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
France,,,,Arianespace,1994,Ariane 44LP,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Molniya-M /Block ML,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1994,Zenit-2,Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1994,Titan IV(401)A,Success,Retired,,,,,,,,,
China,,,,CASC,1994,Long March 2E,Success,Retired,,,,,,,,,
Japan,,,,MHI,1994,H-II,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1994,Atlas-E/F Star-37S-ISS,Success,Retired,,,,,,,,,
USA,,,,Northrop,1994,Pegasus,Success,Retired,,,,,,,,,
France,,,,Arianespace,1994,Ariane 42L,Success,Retired,,,,,,,,,
USA,,,,NASA,1994,Space Shuttle Discovery,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,NASA,1994,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1994,Atlas IIAS,Success,Retired,,,,,,,,,
France,,,,Arianespace,1994,Ariane 44L,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Tsyklon-3,Success,Retired,,,,,,,,,
India,,,,ISRO,1994,PSLV-G,Success,Retired,,,,,,,,,
France,,,,Arianespace,1994,Ariane 42P,Success,Retired,,,,,,,,,
USA,,,,Boeing,1994,Delta II 7925-10,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1994,Tsyklon-2,Success,Retired,,,,,,,,,
USA,,,,NASA,1994,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1994,Zenit-2,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1994,Zenit-2,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1994,Atlas IIA,Success,Retired,,,,,,,,,
China,,,,CASC,1994,Long March 3A,Partial Failure,Active,,,,,,,,,
France,,,,Arianespace,1994,Ariane 42P,Failure,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Molniya-M /Block ML,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,Martin Marietta,1994,Titan IV(402)A,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1994,Tsyklon-3,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1994,Rokot/Briz K,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1994,Atlas-E/F Star-37S-ISS,Success,Retired,,,,,,,,,
USA,,,,ILS,1995,Atlas IIAS,Success,Retired,,,,,,,,,
Japan,,,,ISAS,1995,Mu-III S2,Partial Failure,Retired,,,,,,,,,
Russia,,,,VKS RF,1995,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
China,,,,CASC,1995,Long March 2E,Failure,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Atlas II,Success,Retired,,,,,,,,,
USA,,,,NASA,1995,Space Shuttle Discovery,Success,Retired,,,,,,,,,
USA,,,,NASA,1995,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1995,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
Japan,,,,MHI,1995,H-II,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1995,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,ILS,1995,Atlas IIAS,Success,Retired,,,,,,,,,
USA,,,,General Dynamics,1995,Atlas-E/F Star-37S-ISS,Success,Retired,,,,,,,,,
Russia,,,,MITT,1995,Start,Failure,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 44LP,Success,Retired,,,,,,,,,
USA,,,,Northrop,1995,Pegasus,Success,Retired,,,,,,,,,
Israel,,,,IAI,1995,Shavit,Success,Retired,,,,,,,,,
USA,,,,ILS,1995,Atlas IIA,Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 40,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Titan IV(401)A,Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 44LP,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Atlas I,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1995,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Atlas II,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1995,Tsyklon-2,Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 42P,Success,Retired,,,,,,,,,
USA,,,,Northrop,1995,Pegasus XL,Failure,Active,,,,,,,,,
USA,,,,NASA,1995,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1995,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 40,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Titan IV(401)A,Success,Retired,,,,,,,,,
USA,,,,NASA,1995,Space Shuttle Discovery,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Atlas IIA,Success,Retired,,,,,,,,,
Russia,,,,RVSN USSR,1995,Molniya-M /Block SO-L,Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 42L,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1995,Molniya-M /Block ML,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Athena I,Failure,Retired,,,,,,,,,
USA,,,,ILS,1995,Atlas IIAS,Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 42P,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1995,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,Boeing,1995,Delta II 7925,Partial Failure,Retired,,,,,,,,,
USA,,,,NASA,1995,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 42L,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1995,Cosmos-3M (11K65M),Partial Failure,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 42L,Success,Retired,,,,,,,,,
USA,,,,NASA,1995,Space Shuttle Columbia,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Atlas II,Success,Retired,,,,,,,,,
USA,,,,EER,1995,Conestoga-1620,Failure,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1995,Zenit-2,Success,Retired,,,,,,,,,
USA,,,,Boeing,1995,Delta II 7920-10,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Titan IV(401)A,Success,Retired,,,,,,,,,
USA,,,,NASA,1995,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 44P,Success,Retired,,,,,,,,,
China,,,,CASC,1995,Long March 2E,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Atlas IIAS,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Titan IV(404)A,Success,Retired,,,,,,,,,
France,,,,Arianespace,1995,Ariane 44L,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1995,Atlas IIA,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1995,Tsyklon-2,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1995,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
China,,,,CASC,1995,Long March 2E,Success,Retired,,,,,,,,,
USA,,,,Boeing,1995,Delta II 7920-10,Success,Retired,,,,,,,,,
USA,,,,NASA,1996,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 44L,Success,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1996,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,ILS,1996,Atlas IIAS,Success,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 44P,Success,Retired,,,,,,,,,
China,,,,CASC,1996,Long March 3B,Failure,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925-8,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1996,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,NASA,1996,Space Shuttle Columbia,Success,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925-10,Success,Retired,,,,,,,,,
USA,,,,Northrop,1996,Pegasus XL,Success,Active,,,,,,,,,
France,,,,Arianespace,1996,Ariane 44LP,Success,Retired,,,,,,,,,
India,,,,ISRO,1996,PSLV-G,Success,Retired,,,,,,,,,
USA,,,,NASA,1996,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,ILS,1996,Atlas IIA,Success,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 42P,Success,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7920-10,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1996,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,Lockheed,1996,Titan IV(401)A,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1996,Atlas I,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1996,Titan IV(403)A,Success,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 44L,Success,Retired,,,,,,,,,
USA,,,,Northrop,1996,Pegasus,Success,Retired,,,,,,,,,
USA,,,,NASA,1996,Space Shuttle Endeavour,Success,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925,Success,Retired,,,,,,,,,
France,,,,ESA,1996,Ariane 5 G,Failure,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 44P,Success,Retired,,,,,,,,,
USA,,,,NASA,1996,Space Shuttle Columbia,Success,Retired,,,,,,,,,
USA,,,,Northrop,1996,Pegasus XL,Success,Active,,,,,,,,,
USA,,,,Lockheed,1996,Titan IV(405)A,Success,Retired,,,,,,,,,
China,,,,CASC,1996,Long March 3,Success,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 44L,Success,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1996,Atlas II,Success,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 44L,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1996,Molniya-M /Block ML,Success,Retired,,,,,,,,,
Japan,,,,MHI,1996,H-II (2 SSB),Success,Retired,,,,,,,,,
China,,,,CASC,1996,Long March 3,Partial Failure,Retired,,,,,,,,,
USA,,,,Northrop,1996,Pegasus XL,Success,Active,,,,,,,,,
Russia,,,,RVSN USSR,1996,Molniya-M /Block SO-L,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1996,Zenit-2,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1996,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,ILS,1996,Atlas IIA,Success,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 42P,Success,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,NASA,1996,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
China,,,,CASC,1996,Long March 2D,Success,Active,,,,,,,,,
Russia,,,,VKS RF,1996,Molniya-M /Block ML,Success,Retired,,,,,,,,,
USA,,,,Northrop,1996,Pegasus XL,Failure,Active,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925,Success,Retired,,,,,,,,,
France,,,,Arianespace,1996,Ariane 44L,Success,Retired,,,,,,,,,
USA,,,,ILS,1996,Atlas IIA,Success,Retired,,,,,,,,,
USA,,,,Boeing,1996,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,NASA,1996,Space Shuttle Columbia,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1996,Tsyklon-2,Success,Retired,,,,,,,,,
USA,,,,ILS,1996,Atlas IIA,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1996,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
USA,,,,Lockheed,1996,Titan IV(404)A,Success,Retired,,,,,,,,,
USA,,,,NASA,1997,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
USA,,,,Boeing,1997,Delta II 7925,Failure,Retired,,,,,,,,,
France,,,,Arianespace,1997,Ariane 44L,Success,Retired,,,,,,,,,
USA,,,,NASA,1997,Space Shuttle Discovery,Success,Retired,,,,,,,,,
Japan,,,,ISAS,1997,Mu-V / M-24,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1997,Tsyklon-3,Success,Retired,,,,,,,,,
USA,,,,ILS,1997,Atlas IIAS,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1997,Titan IV(402)B,Success,Retired,,,,,,,,,
France,,,,Arianespace,1997,Ariane 44P,Success,Retired,,,,,,,,,
Russia,,,,MITT,1997,Start-1,Success,Active,,,,,,,,,
USA,,,,ILS,1997,Atlas IIA,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1997,Titan II(23)G,Success,Retired,,,,,,,,,
USA,,,,NASA,1997,Space Shuttle Columbia,Success,Retired,,,,,,,,,
France,,,,Arianespace,1997,Ariane 44LP,Success,Retired,,,,,,,,,
Russia,,,,VKS RF,1997,Cosmos-3M (11K65M),Success,Retired,,,,,,,,,
Gran Canaria,,,,Northrop,1997,Pegasus XL,Success,Active,,,,,,,,,
USA,,,,Lockheed,1997,Atlas I,Success,Retired,,,,,,,,,
USA,,,,Boeing,1997,Delta II 7920-10C,Success,Retired,,,,,,,,,
China,,,,CASC,1997,Long March 3A,Success,Active,,,,,,,,,
Russia,,,,VKS RF,1997,Molniya-M /Block 2BL,Success,Retired,,,,,,,,,
USA,,,,NASA,1997,Space Shuttle Atlantis,Success,Retired,,,,,,,,,
Kazakhstan,,,,VKS RF,1997,Zenit-2,Failure,Retired,,,,,,,,,
USA,,,,Boeing,1997,Delta II 7925,Success,Retired,,,,,,,,,
France,,,,Arianespace,1997,Ariane 44L,Success,Retired,,,,,,,,,
China,,,,CASC,1997,Long March 3,Success,Retired,,,,,,,,,
France,,,,Arianespace,1997,Ariane 44P,Success,Retired,,,,,,,,,
USA,,,,NASA,1997,Space Shuttle Columbia,Success,Retired,,,,,,,,,
USA,,,,Boeing,1997,Delta II 7920-10C,Success,Retired,,,,,,,,,
USA,,,,Boeing,1997,Delta II 7925,Success,Retired,,,,,,,,,
USA,,,,ILS,1997,Atlas IIAS,Success,Retired,,,,,,,,,
Gran Canaria,,,,Northrop,1997,Pegasus XL,Success,Active,,,,,,,,,
USA,,,,NASA,1997,Space Shuttle Discovery,Success,Retired,,,,,,,,,
France,,,,Arianespace,1997,Ariane 44P,Success,Retired,,,,,,,,,
China,,,,CASC,1997,Long March 3B,Success,Retired,,,,,,,,,
USA,,,,Boeing,1997,Delta II 7920-10C,Success,Retired,,,,,,,,,
USA,,,,Lockheed,1997,Athena I,Success,Retired,,,,,,,,,
USA,,,,Boeing,1997,Delta II 7920-8,Success,Retired,,,,,,,,,
USA,,,,Northrop,1997,Pegasus XL,Success,Active,,,,,,,,,
